STAT_ID,STAT_REG1,STAT_REG2,STAT_REG3,STAT_HS
US,대형구경 강관(large diameter welded pipe),"캐나다, 그리스, 한국, 튀르키예 ",반덤핑(규제중),"7305111030,7305111060,7305115000,7305121030,7305121060,7305125000,7305191030,7305191060,7305195000,7305314000,7305316090,7305391000,7305395000"
US,대형구경 강관(Large Diameter Welded Pipe) ,한국,상계관세(규제중),"7305111030,7305111060,7305115000,7305121030,7305121060,7305125000,7305191030,7305191060,7305195000,7305314000,7305316090,7305391000,7305395000"
US,도금강판(Certain Corrosion- Resistant Flat-Rolled Steel),"한국, 중국, 인도, 이탈리아",상계관세(규제중),"7210300030,7210300060,7210410000,7210490030,7210490091,7210490095,7210610000,7210690000,7210706030,7210706060,7210706090,7210906000,7210909000,7212200000,7212301030,7212301090,7212303000,7212305000,7212401000,7212405000,7212500000,7212600000,7210901000,7215901000,7215903000,7215905000,7217201500,7217301530,7217301560,7217901000,7217905030,7217905060,7217905090,7225910000,7225920000,7225990090,7226990110,7226990130,7226990180,7228606000,7228608000,7229901000"
US,강벽사각파이프(Heavy walled rectangular welded carbon steel pipes and tubes),"한국, 멕시코, 튀르키예",반덤핑(규제중),730661
US,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",한국,반덤핑(규제중),"73041910,73041950,73043160,73043900,73045150,73045960,73045980"
US,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ",한국,상계관세(규제중),"73041910,73041950,73043160,73043900,73045150,73045960,73045980"
US,무방향성 전기강판(NOES: Non-Oriented Electrical Steel),"한국, 중국, 대만, 일본, 독일, 스웨덴",반덤핑(규제중),"7225190000,7226191000,7226199000,7225508085,7225990090,7226925000,7226927050,7226928050,7226990180"
US,송유관(Welded Line Pipe),"한국, 튀르키예",반덤핑(규제중),"7305111030,7305115000,7305121030,7305125000,7305191030,7305195000,7306191010,7306191050,7306195110,7306195150,7305111060,7305121060"
US,스테인리스 냉연강판 코일(Cold-rolled stainless steel sheet and strip in coils) ,한국,상계관세(규제중),"7219130030,7219130050,7219130070,7219130080,7219140030,7219140065,7219140090,7219320005,7219320020,7219320025,7219320035,7219320036,7219320038,7219320042,7219320044,7219330005,7219330020,7219330025,7219330035,7219330036,7219330038,7219330042,7219330044,7219340005,7219340020,7219340025,7219340030,7219340035,7219350005,7219350015,7219350030,7219350035,7219900010,7219900020,7219900025,7219900060,7219900080,7220121000,7220125000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220207005,7220207010,7220207015,7220207060,7220207080,7220208000,7220209030,7220209060,7220900010,7220900015,7220900060,7220900080"
US,스테인리스 선재(Stainless steel wire rod),"한국, 일본, 대만",반덤핑(규제중),"7221000005,7221000015,7221000020,7221000030,7221000040,7221000045,7221000060,7221000075,7221000080"
US,아세톤(Acetone),"벨기에, 한국, 남아공",반덤핑(규제중),"2914111000,2914115000,3814001000,3814002000,3814005010,3814005090"
US,ESBR고무(Emulsion styrene-butadiene rubber),"브라질, 한국, 멕시코, 폴란드, ",반덤핑(규제중),"4002190015,4002190019"
US,연벽사각파이프(Light-Walled Rectangular Pipe and Tube) ,"한국, 멕시코, 튀르키예, 중국",반덤핑(규제중),"7306615000,7306617060"
US,열연강판(Hot-Rolled Steel Flat Products),한국,상계관세(규제중),"7208101500,7208103000,7208106000,7208253000,7208256000,7208260030,7208260060,7208270030,7208270060,7208360030,7208360060,7208370030,7208370060,7208380015,7208380030,7208380090,7208390015,7208390030,7208390090,7208406030,7208406060,7208530000,7208540000,7208900000,7210703000,7211140030,7211140090,7211191500,7211192000,7211193000,7211194500,7211196000,7211197530,7211197560,7211197590,7225110000,7225190000,7225303050,7225307000,7225407000,7225990090,7226111000,7226119030,7226119060,7226191000,7226199000,7226915000,7226917000,7226918000,7210909000,7211900000,7212401000,7212405000,7212500000,7214910015,7214910060,7214910090,7214990060,7215905000,7226990180,7228606000"
US,스테인리스 용접강관( ASTM A-312 welded stainless steel pipes),"한국, 대만",반덤핑(규제중),73064050
US,스탠다드 강관(Circular-welded non-alloy pipes and tubes),"브라질, 한국, 멕시코, 대만",반덤핑(규제중),"7306301000,7306305025,7306305032,7306305040,7306305055,7306305085,7306305090"
US,유입식 변압기(Large Power Transformers) ,한국,반덤핑(규제중),"8504230040,8504230080,8504909540"
US,인동(Phosphor Copper),한국,반덤핑(규제중),7405001000
US,저융점 폴리에스테르 단섬유(Low melt polyester staple fiber),한국,반덤핑(규제중),5503200015
US,철강후판(Cut-to-length carbon quality steel plate),"인도, 인도네시아, 한국",반덤핑(규제중),"720840,720851,720852,720853,720890,721070,721090,721113,721114,721190,721240,721250,722540,722550,722599,722691,722699"
US,철강후판(Cut-to-length carbon quality steel plate),"인도, 인도네시아, 한국",상계관세(규제중),"7208403030,7208403060,7208510030,7208510045,7208510060,7208520000,7208530000,7208900000,7210703000,7210909000,7211130000,7211140030,7211140045,7211900000,7212401000,7212405000,7212500000,7225403050,7225407000,7225506000,7225990090,7226915000,7226917000,7226918000,7226990000"
US,스테인리스 냉연강판 코일(Cold-rolled stainless steel sheet and strip in coils) ,한국,반덤핑(규제중),"7219130030,7219130050,7219130070,7219130080,7219140030,7219140065,7219140090,7219320005,7219320020,7219320025,7219320035,7219320036,7219320038,7219320042,7219320044,7219330005,7219330020,7219330025,7219330035,7219330036,7219330038,7219330042,7219330044,7219340005,7219340020,7219340025,7219340030,7219340035,7219350005,7219350015,7219350030,7219350035,7219900010,7219900020,7219900025,7219900060,7219900080,7220121000,7220125000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220207005,7220207010,7220207015,7220207060,7220207080,7220208000,7220209030,7220209060,7220900010,7220900015,7220900060,7220900080"
US,타이어(Passenger Vehicle and Light Truck Tires) ,"한국, 대만, 태국",반덤핑(규제중),"4011101010,4011101020,4011101030,4011101040,4011101050,4011101060,4011101070,4011105000,4011201005,4011205010,4011901010,4011901050,4011902010,4011902050,4011908010,4011908050,8708704530,8708704546,8708704548,8708704560,8708706030,8708706045,8708706060"
US,탄소합금강 선재(Carbon and alloy steel wire rod),"남아공,우크라이나, 이탈리아, 한국, 러시아, 벨라루스, 스페인, 튀르키예, 영국, ",반덤핑(규제중),"7213913011,7213913015,7213913020,7213913093,7213914500,7213916000,7213990030,7227200030,7227200080,7227906010,7227906020,7227906030,7227906035,7227906090,7213990090"
US,냉간압연강관(Certain cold-drawn mechanical tubing of carbon and alloy steel),"중국, 독일, 인도, 이탈리아, 한국, 스위스 ",반덤핑(규제중),"730431,730451,730630,730650"
US,탄소합금후판(Carbon and Alloy Steel Cut-to-length Plate),한국,상계관세(규제중),"7208403030,7208403060,7208510030,7208510045,7208510060,7208520000,7211130000,7211140030,7211140045,7225401110,7225401180,7225403005,7225403050,7226200000,7226915000,7208406060,7208530000,7208900000,7210703000,7210909000,7211191500,7211192000,7211194500,7211196000,7211197590,7211900000,7212401000,7212405000,7212500000,7214100000,7214300010,7214300080,7214910015,7214910060,7214910090,7225110000,7225190000,7225405110,7225405130,7225405160,7225407000,7225990010,7225990090,7226111000,7226119060,7226191000,7226199000,7226910500,7226911530,7226911560,7226912530,7226912560,7226917000,7226918000,7226990180"
US,도금강판(Certain corrosion-resistant steel products),"중국, 인도, 이탈리아, 한국, 대만, ",반덤핑(규제중),"7210300030,7210300060,7210410000,7210490030,7210490091,7210490095,7210610000,7210690000,7210706030,7210706060,7210706090,7210906000,7210909000,7212200000,7212301030,7212301090,7212303000,7212305000,7212401000,7212405000,7212500000,7212600000,7210901000,7215901000,7215903000,7215905000,7217201500,7217301530,7217301560,7217901000,7217905030,7217905060,7217905090,7225910000,7225920000,7225990090,7226990110,7226990130,7226990180,7228606000,7228608000,7229901000"
US,열연강판(Hot rolled steel flat products),"호주, 브라질, 일본, 한국, 네덜란드, 튀르키예, 영국",반덤핑(규제중),"720810,720825,720826,720827,720836,720837,720838,720839,720840,720853,720854,720890,721070,721090,721114,721119,721190,721240,721250,721491,721499,721590,722511,722519,722530,722540,722599,722611,722619,722691,722699,722860"
US,탄소합금후판(Certain carbon and alloy steel cut-to-length plate),"오스트리아, 벨기에, 프랑스, 독일, 이탈리아, 일본, 한국, 대만",반덤핑(규제중),"720840,720851,720852,720853,720890,721070,721090,721113,721114,721119,721190,721240,721250,721410,721430,721491,722511,722519,722540,722599,722611,722619,722620,722691,722699"
US,페로바나듐(Ferro-Vanadium),한국,반덤핑(규제중),7202920000
US,폴리에스테르 단섬유사(Polyester staple fiber),"한국, 대만",반덤핑(규제중),550320
US,풍력타워(Utility Scale Wind Towers) ,"한국,캐나다,인도네시아,베트남",반덤핑(규제중),"7308200020,8502310000"
US,합성단섬유(Fine denier polyester staple fiber),"한국, 중국, 인도, 대만",반덤핑(규제중),5503200025
US,유정용강관(OCTG; Oil Country Tubular Goods),"한국,러시아",상계관세(규제중),"730429,730520,730629"
US,고흡수성 수지(Certain Superabsorbant Polymers: SAP),한국,반덤핑(규제중),"3906905000,3609909000,3906100000"
US,주석제품(Tin Mill Products),"중국,독일,캐나다,한국",반덤핑(조사중),"7210110000,7210120000,7210500020,7210500090,7212100000,7212500000,7225990090,7226990180"
US,황동봉(Brass Rod),"브라질,인도,멕시코,남아공,한국",반덤핑(조사중),"7407211500,7407213000,7407215000,7407217000,7407219000,7403210000"
US,황동봉(Brass Rod),"인도,이스라엘,한국",상계관세(조사중),"7407211500,7407213000,7407215000,7407217000,7407219000,7403210000"
US,알루미늄 호일(Certain Aluminum Foil),"한국,태국",반덤핑(조사중),"7606,760611,760612,760691,760692,7607,760711,760719"
US,알루미늄 호일(Certain Aluminum Foil),"한국,태국",상계관세(조사중),"7606,760611,760612,760691,760692,7607,760711,760719"
US,알루미늄 압출재(Aluminum extrusions),"한국,중국, 콜롬비아,도미니카공화국,에콰도르,인도,인도네시아,이탈리아,말레이시아,멕시코,대만,태국,튀르키예,UAE,베트남",반덤핑(조사중),"7604101000,7604103000,7604105000,7604210010,7604210090,7604291010,7604291090,7604293060,7604293090,7604295050,7604295090,7608100030,7608100090,7608200030,7608200090,7609000000,7610100010,7610100020,7610100030,7610900040,7610900080"
US,알루미늄 와이어 및 케이블(Aluminum wire and cable),"한국,캄보디아,베트남",반덤핑(조사중),"8544499000,8544429090"
US,알루미늄 와이어 및 케이블(Aluminum wire and cable),"한국,캄보디아,베트남",상계관세(조사중),"8544499000,8544429090"
US,알루미늄 시트(Common alloy aluminum sheet),한국,반덤핑(조사중),"7606113060,7606116000,7606123090,7606126000,7606913090,7606916080,7606923090,7606926080,7606113030,7606123030,7606913060,7606916040"
US,알루미늄 시트(Common alloy aluminum sheet),한국,상계관세(조사중),"7606113060,7606116000,7606123090,7606126000,7606913090,7606916080,7606923090,7606926080,7606113030,7606123030,7606913060,7606916040"
DE,감열지(특정 경량지)(Thermal paper (certain lightweight)),한국,반덤핑(규제중),"4809900010,4811900010,4816900010,4823908520"
DE,감열지(특정 중량지)(Thermal paper (certain heavyweight)),한국,반덤핑(규제중),"4809900020,4811590020,4811900020"
DE,고흡수성 수지(Super absorbent polymers),한국,반덤핑(규제중),3906909017
DE,실리콘 메탈(Silicon metal),"중국(한국, 대만)",반덤핑(규제중),28046900
DE, 전기강판(Grain-oriented flat-rolled products of electrical steel (GOES)),"일본, 중국, 한국, 러시아, 미국 ",반덤핑(규제중),"7225110011,7225110015,7225110019,7226110012,7226110014,7226110016,7226110092,7226110094,7226110096"
DE,철강 로프 및 케이블(Steel Ropes and Cables),"한국, 중국, 모로코",반덤핑(규제중),"7312108113,7312108119,7312108313,7312108319,7312108513,7312108519,7312108913,7312108919,7312109813,7312109819"
DE,철강제품(Steel Products),전세계,세이프가드(규제중),"72,73"
DE,철강제 관연결구류(Tube and pipe fittings of iron or steel),"한국, 러시아, 말레이시아",반덤핑(규제중),"7307931191,7307931193,7307931194,7307931195,7307931199,7307931991,7307931993,7307931994,7307931995,7307931999,7307998092,7307998093,7307998094,7307998095,7307998098"
CA,"구조용 강관(Hollow structural sections: HSS made of carbon and alloy steel, welded)","한국, 튀르키예",반덤핑(규제중),"7306300041,7306300051,7306300061,7306300071,7306300089,7306500000,7306610039,7306610049"
CA,냉연강판(Certain Cold-rolled steel in coils or cut lengths),"한국, 중국, 베트남",상계관세(규제중),"7209150000,7209160040,7209160090,7209170040,7209170090,7209180000,7209250000,7209260000,7209270000,7209280000,7209900000,7211230000,7211290000,7211900000,7225500010,7225500020,7225500030,7225500040"
CA,냉연강판(Certain Cold-rolled steel in coils or cut lengths),"한국, 중국, 베트남",반덤핑(규제중),"7209150000,7209160040,7209160090,7209170040,7209170090,7209180000,7209250000,7209260000,7209270000,7209280000,7209900000,7211230000,7211290000,7211900000,7225500010,7225500020,7225500030,7225500040"
CA,도금강판(Certain Corrosion-Resistant Steel Sheet),"중국, 대만, 인도, 한국",반덤핑(규제중),"7210300000,7210490040,7210490050,7210490060,7210490070,7210610010,7210610020,7210690010,7210690020,7212200010,7212200020,7212200030,7212200040,7212300010,7212300020,7212300030,7212300040,7212500030,7212500040,7212500050,7212500060,7225910010,7225910020,7225910030,7225910040,7225920010,7225920020,7225920030,7225920040,7226990011,7226990012,7226990013,7226990019"
CA,동관(Copper Tube),"한국, 브라질, 중국, 그리스, 멕시코",반덤핑(규제중),"7411100010,7411100020,7411100031,7411100039"
CA,동제관연결구류(Certain Copper Pipe Fittings),"한국, 중국, 미국",반덤핑(규제중),"7412100011,7412100019,7412100090,7412200011,74412200012,7412200019,7412200090"
CA,용접탄소강관(Carbon Steel Welded Pipe 2),"한국, 대만, 인도, 오만, 태국, 아랍에미리트",반덤핑(규제중),"7306300042,7306300043,7306300044,7306300045,7306300046,7306300047,7306300049,7306300052,7306300053,7306300054,7306300055,7306300056,7306300057,7306300059,7306300062,7306300063,7306300064,7306300065,7306300066,7306300067,7306300069"
CA,유입식 대형 변압기((Large Power Transformers),한국,반덤핑(규제중),"8504230020,8504230030,8504909010,8504909082,8504909090"
CA,"유정용강관(OCTG 2, Oil Country Tubular Goods)","대만, 인도, 인도네시아, 한국, 태국, 튀르키예, 우크라이나, 베트남",반덤핑(규제중),"7304290012,7304290013,7304290014,7304290015,7304290016,7304290017,7304290019,7304290022,7304290023,7304290024,7304290025,7304290026,7304290027,7304290029,7304290032,7304290033,7304290034,7304290035,7304290036,7304290037,7304290039,7304290042,7304290043,7304290044,7304290045,7304290046,7304290047,7304290049,7304290052,7304290053,7304290054,7304290055,7304290056,7304290057,7304290059,7304290062,7304290063,7304290064,7304290065,7304290066,7304290067,7304290069,7304290072,7304290073,7304290074,7304290075,7304290076,7304290077,7304290079,7306290012,7306290013,7306290014,7306290015,7306290016,7306290017,7306290019,7306290022,7306290023,7306290024,7306290025,7306290026,7306290027,7306290029,7306290032,7306290033,7306290034,7306290035,7306290036,7306290037,7306290039,7306290042,7306290043,7306290044,7306290045,7306290046,7306290047,7306290049,7306290052,7306290053,7306290054,7306290055,7306290056,7306290057,7306290059,7306290062,7306290063,7306290064,7306290065,7306290066,7306290067,7306290069,7306290072,7306290073,7306290074,7306290075,7306290076,7306290077,7306290079"
CA,"콘크리트 철근(Concrete reinforcing bars, RB1)","한국, 중국, 튀르키예",반덤핑(규제중),"7213100011,7213100012,7213100013,7213100090,7214200011,7214200012,7214200013,7214200014,7214200021,7214200022,7214200023,7214200024,7214200031,7214200032,7214200033,7214200034,7214200090,7215900020,7215900030,7227900050,7228300051,7228300052,7228300053"
CA,탄소합금강관(Line Pipe 2_Carbon and Alloy Steel line pipe),한국,반덤핑(규제중),"7304190013,7304190014,7304190015,7304190016,7304190019,7304190023,7304190024,7304190025,7304190026,7304190029,7304190061,7304190062,7304190063,7304190064,7304190069,7304190071,7304190072,7304190073,7304190074,7304190079,7305110031,7305110032,7305110033,7305110034,7305110039,7305120031,7305120032,7305120033,7305120034,7305120039,7305120041,7305120042,7305120043,7305120044,7305120049,7305190031,7305190032,7305190033,7305190034,7305190039,7306190010,7306190090"
CA,60MVA 이하 소형 변압기(Certain Small Power Transformers),"오스트리아, 대만, 한국",반덤핑(규제중),"8504220020,8504230000,8504909010,8504909082,8504909090"
CA,후판 열연강판(Certain hot-rolled carbon steel plate and high-strength low-alloy steel plate 7),"한국, 브라질, 덴마크, 인도네시아, 이탈리아, 일본",반덤핑(규제중),"7208510011,7208510012,7208510019,7208510021,7208510022,7208510023,7208510024,7208510025,7208510031,7208510032,7208510033,7208510034,7208510035,7208510041,7208510042,7208510043,7208510044,7208510045,7208510051,7208510052,7208510053,7208510054,7208510055,7208520011,7208520012,7208520019,7208520081,7208520082,7208520083,7208520084,7208520085"
GB, 비합금 및 기타 합금 열연강판(Non Alloy and Other Alloy Hot Rolled Sheets and Strips ),"EU, 튀르키예, 대만, 기타국(한국 포함)",세이프가드(규제중),"72081000,72082500,72082600,72082700,72083600,72083700,72083800,72083900,72084000,72085210,72085299,72085310,72085390,72085400,72111300,72111400,72111900,72126000,72251910,72253010,72253030,72253090,72254015,72254090,72261910,72269120,72269191,72269199"
GB,	비합금 및 기타 합금 냉연강판(Non Alloy and Other Alloy Cold Rolled Sheets),"EU, 한국, 인도, 베트남, 기타국",세이프가드(규제중),"72091500,72091690,72091790,72091891,72092500,72092690,72092790,72092890,72099020,72099080,72112320,72112330,72112380,72112900,72119020,72119080,72255020,72255080,72262000,72269200"
GB,가스관(Gas pipes)," EU, 튀르키예, 인도, UAE, 기타국(한국 포함)",세이프가드(규제중),"73063041,73063049,73063072,73063077"
GB,금속코팅판(Metallic Coated Sheets),"EU, 대만, 인도, 튀르키예, 기타국(한국 포함)",세이프가드(규제중),"72102000,72104100,72104900,72106100,7210690020,7210690080,72109080,72122000,72123000,72125020,72125030,72125040,72125061,72125069,72125090,72259100,72259200,72259900,72269910,72269930,72269970"
GB,기타 용접관(Other Welded Tube),"EU, UAE, 튀르키예, 중국, 기타국(한국 포함)",세이프가드(규제중),"73061100,73061900,73063012,73063018,73062100,73062900,73065021,73065029,73063080,73064020,73064080,73065080,73066910,73066990,73069000"
GB,대형 용접관(Large welded tubes(25A)),"일본, EU, 한국, 기타국",세이프가드(규제중),"73051100,73051200"
GB,대형 용접관(Large welded tubes(25B)),"EU, 한국, 일본, 기타국",세이프가드(규제중),"73051900,73052000,73053100,73053900,73059000"
GB,비합금 및 기타 합금 Quarto 플레이트(Non Alloy and Other Alloy Quarto Plates),"EU, 기타국(한국 포함)",세이프가드(규제중),"72085120,72085191,72085198,72085291,72089020,72089080,72109030,72254012,72254040,72254060"
GB,비합금 머천트바 및 경량 섹션(Non-alloy Merchant Bars and Light Sections),"EU, 튀르키예, 기타국(한국 포함)",세이프가드(규제중),"72143000,72149110,72149190,72149931,72149939,72149950,72149971,72149979,72149995,72159000,72161000,72162100,72162200,72164010,72164090,72165010,72165091,72165099,72169900"
GB,비합금 및 기타 합금 선재(Non Alloy and Other Alloy Wire Rod),"EU, 기타국(한국 포함)",세이프가드(규제중),"72131000,72132000,72139110,72139120,72139141,72139149,72139170,72139190,72139910,72139990,72271000,72272000,72279010,72279050,72279095"
GB,유기코팅판(Organic Coated Sheets),"EU, 한국, 기타국",세이프가드(규제중),"72107080,72124080"
GB,주석 제품(Tin Mill products),"EU, 중국, 대만, 한국, 기타국",세이프가드(규제중),"72091899,72101100,72101220,72101280,72105000,72107010,72109040,72121010,72121090,72124020"
GB,중공 각관(Hollow sections),"튀르키예, EU, 기타국(한국 포함)",세이프가드(규제중),"73066110,73066192,73066199"
GB,"철 또는 비합금 형강(Angles, Shapes and Sections of Iron or Non Alloy Steel)","EU, 기타국(한국 포함)",세이프가드(규제중),"72163110,72163190,72163211,72163219,72163291,72163299,72163310,72163390"
GB,철강 로프 및 케이블(Steel (wire) ropes and cables),"중국,한국,모로코",반덤핑(규제중),"7312108112,7312108113,7312108119,7312108312,7312108313,7312108319,7312108512,7312108513,7312108519,7312108912,7312108913,7312108919,7312109812,7312109813,7312109819"
GB,철근(Rebars),"EU, 튀르키예, 기타국(한국 포함)",세이프가드(규제중),"72142000,72149910"
GB,철도 재료(Railway Material),"EU, 기타국(한국 포함)",세이프가드(규제중),"73021022,73021028,,73021050"
GB,합금 머천트 바 및 경량섹션(Alloy merchant bars and light sections),"EU, 기타국(한국 포함)",세이프가드(규제중),"72283020,72283041,72283061,72283069,72283070,72283089,72286020,72287010"
CN,광섬유(Dis/sion Unshifted Single-Mode Optical Fiber),"한국, 일본, 미국,EU",반덤핑(규제중),90011000
CN,니트릴 고무(Nitrile Rubber),"한국, 일본",반덤핑(규제중),"40025910,40025990"
CN,메틸이소부틸케톤(4-Methyl-2-Pentanone),"한국, 일본, 남아공",반덤핑(규제중),2914130000
CN,방향성 전기강판(GOES: Grain oriented flat-rolled electrical steel),"한국, 일본, EU",반덤핑(규제중),"722511,722611"
CN,비스페놀A(Bisphenol-A),"한국, 일본, 싱가포르, 대만, 태국",반덤핑(규제중),29072300
CN,스테인리스 압연 및 열연강판(Stainless Steel Billet and Hot-rolled Stainless Steel Plate),"한국, 인도네시아, EU, 일본, 영국",반덤핑(규제중),"72189100,72189900,72191100,72191200,72191312,72191319,72191322,72191329,72191412,72191419,72191422,72191429,72192100,72192200,72192300,72192410,72192420,72192430,72201100,72201200"
CN,스티렌(Styrene Monomer),"한국, 대만, 미국",반덤핑(규제중),29025000
CN,"아세톤(Acetone, Dimethyl Ketone or 2-Propanone)","한국, 일본, 대만, 싱가포르",반덤핑(규제중),29141100
CN,폴리아크릴로니트릴/아크릴섬유(Polyacrylonitrile Fiber or Acrylic Fiber),"한국, 일본, 튀르키예",반덤핑(규제중),"550130,550330,550630"
CN,"에틸렌프로필렌 합성 고무(EPDM, Ethylene-Propylene-non-conjugated Diene Rubber)","EU, 한국, 미국, 영국",반덤핑(규제중),"40027010,40027090"
CN,폴리실리콘(Polysilicon),"한국, 미국",반덤핑(규제중),28046190
CN,페놀(Phenol),"한국, EU, 영국, 태국, 미국, 일본",반덤핑(규제중),29071110
CN,"폴리아세탈 수지(Polyformaldehyde Copolymer,Polyoxym ethylene Copolymer,Copolymer-type Acetal Resin or Acetal Copolymer)","한국, 말레이시아,
태국",반덤핑(규제중),"39071010,39071090"
CN,"폴리페닐렌 설파이드(Polyphenylene Sulfide, PPS)","일본, 한국, 미국, 말레이시아",반덤핑(규제중),39119000
FR,감열지(특정 경량지)(Thermal paper (certain lightweight)),한국,반덤핑(규제중),"4809900010,4811900010,4816900010,4823908520"
FR,감열지(특정 중량지)(Thermal paper (certain heavyweight)),한국,반덤핑(규제중),"4809900020,4811590020,4811900020"
FR,고흡수성 수지(Super absorbent polymers),한국,반덤핑(규제중),3906909017
FR,실리콘 메탈(Silicon metal),"중국(한국, 대만)",반덤핑(규제중),28046900
FR, 전기강판(Grain-oriented flat-rolled products of electrical steel (GOES)),"일본, 중국, 한국, 러시아, 미국 ",반덤핑(규제중),"7225110011,7225110015,7225110019,7226110012,7226110014,7226110016,7226110092,7226110094,7226110096"
FR,철강 로프 및 케이블(Steel Ropes and Cables),"한국, 중국, 모로코",반덤핑(규제중),"7312108113,7312108119,7312108313,7312108319,7312108513,7312108519,7312108913,7312108919,7312109813,7312109819"
FR,철강제품(Steel Products),전세계,세이프가드(규제중),"72,73"
FR,철강제 관연결구류(Tube and pipe fittings of iron or steel),"한국, 러시아, 말레이시아",반덤핑(규제중),"7307931191,7307931193,7307931194,7307931195,7307931199,7307931991,7307931993,7307931994,7307931995,7307931999,7307998092,7307998093,7307998094,7307998095,7307998098"
SE,감열지(특정 경량지)(Thermal paper (certain lightweight)),한국,반덤핑(규제중),"4809900010,4811900010,4816900010,4823908520"
SE,감열지(특정 중량지)(Thermal paper (certain heavyweight)),한국,반덤핑(규제중),"4809900020,4811590020,4811900020"
SE,고흡수성 수지(Super absorbent polymers),한국,반덤핑(규제중),3906909017
SE,실리콘 메탈(Silicon metal),"중국(한국, 대만)",반덤핑(규제중),28046900
SE, 전기강판(Grain-oriented flat-rolled products of electrical steel (GOES)),"일본, 중국, 한국, 러시아, 미국 ",반덤핑(규제중),"7225110011,7225110015,7225110019,7226110012,7226110014,7226110016,7226110092,7226110094,7226110096"
SE,철강 로프 및 케이블(Steel Ropes and Cables),"한국, 중국, 모로코",반덤핑(규제중),"7312108113,7312108119,7312108313,7312108319,7312108513,7312108519,7312108913,7312108919,7312109813,7312109819"
SE,철강제품(Steel Products),전세계,세이프가드(규제중),"72,73"
SE,철강제 관연결구류(Tube and pipe fittings of iron or steel),"한국, 러시아, 말레이시아",반덤핑(규제중),"7307931191,7307931193,7307931194,7307931195,7307931199,7307931991,7307931993,7307931994,7307931995,7307931999,7307998092,7307998093,7307998094,7307998095,7307998098"
